"Fact","Fact Note","Kern County, California","Value Note for Kern County, California"
"Population estimates, July 1, 2024, (V2024)","","922,529",""
"Population estimates, July 1, 2023, (V2023)","","913,820",""
"Population estimates base, April 1, 2020, (V2024)","","909,233",""
"Population estimates base, April 1, 2020, (V2023)","","909,229",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.5%",""
"Population, Census, April 1, 2020","","909,235",""
"Population, Census, April 1, 2010","","839,631",""
"Persons under 5 years, percent","","6.9%",""
"Persons under 18 years, percent","","28.4%",""
"Persons 65 years and over, percent","","12.2%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","81.4%",""
"Black alone, percent (a)","(a)","6.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.8%",""
"Asian alone, percent (a)","(a)","5.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.3%",""
"Two or More Races, percent","","3.5%",""
"Hispanic or Latino, percent (b)","(b)","57.1%",""
"White alone, not Hispanic or Latino, percent","","30.0%",""
"Veterans, 2019-2023","","32,696",""
"Foreign-born persons, percent, 2019-2023","","19.7%",""
"Housing Units, July 1, 2023, (V2023)","","309,653",""
"Owner-occupied housing unit rate, 2019-2023","","59.8%",""
"Median value of owner-occupied housing units, 2019-2023","","$310,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,901",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$599",""
"Median gross rent, 2019-2023","","$1,220",""
"Building Permits, 2023","","2,451",""
"Households, 2019-2023","","281,416",""
"Persons per household, 2019-2023","","3.15",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","90.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","45.2%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","77.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","18.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.5%",""
"Persons without health insurance, under age 65 years, percent","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","58.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,111,941",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,727,357",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,689,976",""
"Total retail sales, 2022 ($1,000)","(c)","13,442,643",""
"Total retail sales per capita, 2022","(c)","$14,663",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.4",""
"Median households income (in 2023 dollars), 2019-2023","","$67,660",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$29,238",""
"Persons in poverty, percent","","19.0%",""
"Total employer establishments, 2022","","14,233",""
"Total employment, 2022","","206,892",""
"Total annual payroll, 2022 ($1,000)","","11,061,785",""
"Total employment, percent change, 2021-2022","","6.8%",""
"Total nonemployer establishments, 2022","","55,844",""
"All employer firms, Reference year 2022","","10,551",""
"Men-owned employer firms, Reference year 2022","","6,495",""
"Women-owned employer firms, Reference year 2022","","S",""
"Minority-owned employer firms, Reference year 2022","","3,881",""
"Nonminority-owned employer firms, Reference year 2022","","5,397",""
"Veteran-owned employer firms, Reference year 2022","","S",""
"Nonveteran-owned employer firms, Reference year 2022","","8,839",""
"Population per square mile, 2020","","111.8",""
"Population per square mile, 2010","","103.3",""
"Land area in square miles, 2020","","8,134.65",""
"Land area in square miles, 2010","","8,131.92",""
"FIPS Code","","""06029""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
