"Fact","Fact Note","Loudon County, Tennessee","Value Note for Loudon County, Tennessee"
"Population estimates, July 1, 2024, (V2024)","","62,129",""
"Population estimates, July 1, 2023, (V2023)","","60,591",""
"Population estimates base, April 1, 2020, (V2024)","","54,891",""
"Population estimates base, April 1, 2020, (V2023)","","54,887",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","13.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","10.4%",""
"Population, Census, April 1, 2020","","54,886",""
"Population, Census, April 1, 2010","","48,556",""
"Persons under 5 years, percent","","4.7%",""
"Persons under 18 years, percent","","18.7%",""
"Persons 65 years and over, percent","","28.1%",""
"Female persons, percent","","50.6%",""
"White alone, percent","","94.9%",""
"Black alone, percent (a)","(a)","1.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","10.5%",""
"White alone, not Hispanic or Latino, percent","","85.5%",""
"Veterans, 2019-2023","","4,108",""
"Foreign-born persons, percent, 2019-2023","","6.1%",""
"Housing Units, July 1, 2023, (V2023)","","26,862",""
"Owner-occupied housing unit rate, 2019-2023","","80.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$292,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,465",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$441",""
"Median gross rent, 2019-2023","","$995",""
"Building Permits, 2023","","662",""
"Households, 2019-2023","","23,438",""
"Persons per household, 2019-2023","","2.41",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","93.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.6%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.6%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","11.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","54.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","48.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","103,643",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","187,628",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","204,496",""
"Total retail sales, 2022 ($1,000)","(c)","833,317",""
"Total retail sales per capita, 2022","(c)","$14,307",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0",""
"Median households income (in 2023 dollars), 2019-2023","","$80,296",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,817",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","1,026",""
"Total employment, 2022","","14,766",""
"Total annual payroll, 2022 ($1,000)","","722,952",""
"Total employment, percent change, 2021-2022","","3.9%",""
"Total nonemployer establishments, 2022","","4,610",""
"All employer firms, Reference year 2022","","741",""
"Men-owned employer firms, Reference year 2022","","413",""
"Women-owned employer firms, Reference year 2022","","144",""
"Minority-owned employer firms, Reference year 2022","","S",""
"Nonminority-owned employer firms, Reference year 2022","","539",""
"Veteran-owned employer firms, Reference year 2022","","48",""
"Nonveteran-owned employer firms, Reference year 2022","","536",""
"Population per square mile, 2020","","239.4",""
"Population per square mile, 2010","","211.8",""
"Land area in square miles, 2020","","229.27",""
"Land area in square miles, 2010","","229.22",""
"FIPS Code","","""47105""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
