"Fact","Fact Note","Montana","Value Note for Montana"
"Population estimates, July 1, 2024, (V2024)","","1,137,233",""
"Population estimates, July 1, 2023, (V2023)","","1,132,812",""
"Population estimates base, April 1, 2020, (V2024)","","1,084,216",""
"Population estimates base, April 1, 2020, (V2023)","","1,084,244",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","4.5%",""
"Population, Census, April 1, 2020","","1,084,225",""
"Population, Census, April 1, 2010","","989,415",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","20.8%",""
"Persons 65 years and over, percent","","20.5%",""
"Female persons, percent","","49.3%",""
"White alone, percent","","88.7%",""
"Black alone, percent (a)","(a)","0.6%",""
"American Indian and Alaska Native alone, percent (a)","(a)","6.4%",""
"Asian alone, percent (a)","(a)","1.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","3.1%",""
"Hispanic or Latino, percent (b)","(b)","4.7%",""
"White alone, not Hispanic or Latino, percent","","85.1%",""
"Veterans, 2019-2023","","81,663",""
"Foreign-born persons, percent, 2019-2023","","2.3%",""
"Housing Units, July 1, 2023, (V2023)","","535,500",""
"Owner-occupied housing unit rate, 2019-2023","","69.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$338,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,736",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$547",""
"Median gross rent, 2019-2023","","$1,031",""
"Building Permits, 2023","","4,307","1"
"Households, 2019-2023","","452,683",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.2%",""
"Households with a computer, percent, 2019-2023","","93.9%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.5%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.9%",""
"Persons without health insurance, under age 65 years, percent","","10.5%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","4,321,331",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","11,075,124",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,002,242",""
"Total retail sales, 2022 ($1,000)","(c)","24,144,772",""
"Total retail sales per capita, 2022","(c)","$21,503",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.2",""
"Median households income (in 2023 dollars), 2019-2023","","$69,922",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,842",""
"Persons in poverty, percent","","11.7%",""
"Total employer establishments, 2022","","42,015",""
"Total employment, 2022","","398,871",""
"Total annual payroll, 2022 ($1,000)","","20,101,686",""
"Total employment, percent change, 2021-2022","","4.9%",""
"Total nonemployer establishments, 2022","","105,934",""
"All employer firms, Reference year 2022","","33,035",""
"Men-owned employer firms, Reference year 2022","","17,574",""
"Women-owned employer firms, Reference year 2022","","6,836",""
"Minority-owned employer firms, Reference year 2022","","1,443",""
"Nonminority-owned employer firms, Reference year 2022","","28,707",""
"Veteran-owned employer firms, Reference year 2022","","1,812",""
"Nonveteran-owned employer firms, Reference year 2022","","27,825",""
"Population per square mile, 2020","","7.4",""
"Population per square mile, 2010","","6.8",""
"Land area in square miles, 2020","","145,550.36",""
"Land area in square miles, 2010","","145,545.80",""
"FIPS Code","","""30""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"1","Includes data not distributed by county.","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
