"Fact","Fact Note","Georgia","Value Note for Georgia"
"Population estimates, July 1, 2024, (V2024)","","11,180,878",""
"Population estimates, July 1, 2023, (V2023)","","11,029,227",""
"Population estimates base, April 1, 2020, (V2024)","","10,713,755",""
"Population estimates base, April 1, 2020, (V2023)","","10,713,771",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","2.9%",""
"Population, Census, April 1, 2020","","10,711,908",""
"Population, Census, April 1, 2010","","9,687,653",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","23.0%",""
"Persons 65 years and over, percent","","15.4%",""
"Female persons, percent","","51.3%",""
"White alone, percent","","58.7%",""
"Black alone, percent (a)","(a)","33.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","4.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","11.1%",""
"White alone, not Hispanic or Latino, percent","","49.6%",""
"Veterans, 2019-2023","","608,876",""
"Foreign-born persons, percent, 2019-2023","","10.8%",""
"Housing Units, July 1, 2023, (V2023)","","4,610,567",""
"Owner-occupied housing unit rate, 2019-2023","","65.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$272,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,712",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$518",""
"Median gross rent, 2019-2023","","$1,306",""
"Building Permits, 2023","","63,621",""
"Households, 2019-2023","","4,008,013",""
"Persons per household, 2019-2023","","2.64",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","15.0%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.0%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","13.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.0%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","36,524,926",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","95,053,842",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","55,684,552",""
"Total retail sales, 2022 ($1,000)","(c)","216,836,912",""
"Total retail sales per capita, 2022","(c)","$19,869",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","28.3",""
"Median households income (in 2023 dollars), 2019-2023","","$74,664",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,525",""
"Persons in poverty, percent","","13.6%",""
"Total employer establishments, 2022","","258,377",""
"Total employment, 2022","","4,249,362",""
"Total annual payroll, 2022 ($1,000)","","260,014,888",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","1,175,541",""
"All employer firms, Reference year 2022","","187,538",""
"Men-owned employer firms, Reference year 2022","","117,497",""
"Women-owned employer firms, Reference year 2022","","44,187",""
"Minority-owned employer firms, Reference year 2022","","52,089",""
"Nonminority-owned employer firms, Reference year 2022","","124,488",""
"Veteran-owned employer firms, Reference year 2022","","10,394",""
"Nonveteran-owned employer firms, Reference year 2022","","165,015",""
"Population per square mile, 2020","","185.6",""
"Population per square mile, 2010","","168.4",""
"Land area in square miles, 2020","","57,716.96",""
"Land area in square miles, 2010","","57,513.49",""
"FIPS Code","","""13""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
