"Fact","Fact Note","Indiana","Value Note for Indiana"
"Population estimates, July 1, 2024, (V2024)","","6,924,275",""
"Population estimates, July 1, 2023, (V2023)","","6,862,199",""
"Population estimates base, April 1, 2020, (V2024)","","6,786,587",""
"Population estimates base, April 1, 2020, (V2023)","","6,785,442",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.1%",""
"Population, Census, April 1, 2020","","6,785,528",""
"Population, Census, April 1, 2010","","6,483,802",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","50.4%",""
"White alone, percent","","83.7%",""
"Black alone, percent (a)","(a)","10.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.5%",""
"Asian alone, percent (a)","(a)","2.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","8.8%",""
"White alone, not Hispanic or Latino, percent","","76.0%",""
"Veterans, 2019-2023","","338,153",""
"Foreign-born persons, percent, 2019-2023","","5.9%",""
"Housing Units, July 1, 2023, (V2023)","","3,002,605",""
"Owner-occupied housing unit rate, 2019-2023","","70.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$201,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,355",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$498",""
"Median gross rent, 2019-2023","","$1,020",""
"Building Permits, 2023","","27,055",""
"Households, 2019-2023","","2,681,537",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","9.8%",""
"Households with a computer, percent, 2019-2023","","93.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","90.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","28.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.1%",""
"Persons without health insurance, under age 65 years, percent","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,917,654",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","66,586,781",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","27,233,207",""
"Total retail sales, 2022 ($1,000)","(c)","155,578,217",""
"Total retail sales per capita, 2022","(c)","$22,771",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","24.0",""
"Median households income (in 2023 dollars), 2019-2023","","$70,051",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,178",""
"Persons in poverty, percent","","12.3%",""
"Total employer establishments, 2022","","153,748",""
"Total employment, 2022","","2,875,908",""
"Total annual payroll, 2022 ($1,000)","","158,017,872",""
"Total employment, percent change, 2021-2022","","4.4%",""
"Total nonemployer establishments, 2022","","480,921",""
"All employer firms, Reference year 2022","","103,303",""
"Men-owned employer firms, Reference year 2022","","63,919",""
"Women-owned employer firms, Reference year 2022","","20,251",""
"Minority-owned employer firms, Reference year 2022","","11,766",""
"Nonminority-owned employer firms, Reference year 2022","","84,049",""
"Veteran-owned employer firms, Reference year 2022","","5,338",""
"Nonveteran-owned employer firms, Reference year 2022","","89,752",""
"Population per square mile, 2020","","189.4",""
"Population per square mile, 2010","","181.0",""
"Land area in square miles, 2020","","35,826.03",""
"Land area in square miles, 2010","","35,826.11",""
"FIPS Code","","""18""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
