"Fact","Fact Note","Ohio","Value Note for Ohio"
"Population estimates, July 1, 2024, (V2024)","","11,883,304",""
"Population estimates, July 1, 2023, (V2023)","","11,785,935",""
"Population estimates base, April 1, 2020, (V2024)","","11,799,453",""
"Population estimates base, April 1, 2020, (V2023)","","11,799,331",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","11,799,448",""
"Population, Census, April 1, 2010","","11,536,504",""
"Persons under 5 years, percent","","5.6%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","18.7%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","80.6%",""
"Black alone, percent (a)","(a)","13.4%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%",""
"Asian alone, percent (a)","(a)","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","4.8%",""
"White alone, not Hispanic or Latino, percent","","76.7%",""
"Veterans, 2019-2023","","626,617",""
"Foreign-born persons, percent, 2019-2023","","5.0%",""
"Housing Units, July 1, 2023, (V2023)","","5,317,298",""
"Owner-occupied housing unit rate, 2019-2023","","67.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$199,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,472",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$570",""
"Median gross rent, 2019-2023","","$988",""
"Building Permits, 2023","","27,318",""
"Households, 2019-2023","","4,829,571",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","7.7%",""
"Households with a computer, percent, 2019-2023","","93.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.2%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","31,409,389",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","121,139,931",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","45,388,800",""
"Total retail sales, 2022 ($1,000)","(c)","246,331,444",""
"Total retail sales per capita, 2022","(c)","$20,947",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.6",""
"Median households income (in 2023 dollars), 2019-2023","","$69,680",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,455",""
"Persons in poverty, percent","","13.3%",""
"Total employer establishments, 2022","","254,594",""
"Total employment, 2022","","4,963,808",""
"Total annual payroll, 2022 ($1,000)","","285,334,397",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","898,451",""
"All employer firms, Reference year 2022","","170,212",""
"Men-owned employer firms, Reference year 2022","","109,119",""
"Women-owned employer firms, Reference year 2022","","34,213",""
"Minority-owned employer firms, Reference year 2022","","18,173",""
"Nonminority-owned employer firms, Reference year 2022","","139,938",""
"Veteran-owned employer firms, Reference year 2022","","8,614",""
"Nonveteran-owned employer firms, Reference year 2022","","147,848",""
"Population per square mile, 2020","","288.8",""
"Population per square mile, 2010","","282.3",""
"Land area in square miles, 2020","","40,858.76",""
"Land area in square miles, 2010","","40,860.69",""
"FIPS Code","","""39""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
