"Fact","Fact Note","New Mexico","Value Note for New Mexico"
"Population estimates, July 1, 2024, (V2024)","","2,130,256",""
"Population estimates, July 1, 2023, (V2023)","","2,114,371",""
"Population estimates base, April 1, 2020, (V2024)","","2,117,555",""
"Population estimates base, April 1, 2020, (V2023)","","2,117,525",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%",""
"Population, Census, April 1, 2020","","2,117,522",""
"Population, Census, April 1, 2010","","2,059,179",""
"Persons under 5 years, percent","","5.1%",""
"Persons under 18 years, percent","","21.3%",""
"Persons 65 years and over, percent","","19.8%",""
"Female persons, percent","","50.3%",""
"White alone, percent","","80.7%",""
"Black alone, percent (a)","(a)","2.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","11.4%",""
"Asian alone, percent (a)","(a)","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","48.6%",""
"White alone, not Hispanic or Latino, percent","","36.8%",""
"Veterans, 2019-2023","","133,239",""
"Foreign-born persons, percent, 2019-2023","","9.2%",""
"Housing Units, July 1, 2023, (V2023)","","965,399",""
"Owner-occupied housing unit rate, 2019-2023","","69.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$232,200",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,510",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$439",""
"Median gross rent, 2019-2023","","$1,021",""
"Building Permits, 2023","","8,511","1"
"Households, 2019-2023","","825,021",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","31.6%",""
"Households with a computer, percent, 2019-2023","","92.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","84.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","87.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","11.8%",""
"Persons without health insurance, under age 65 years, percent","","11.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.9%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","7,086,476",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","17,390,006",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","3,660,003",""
"Total retail sales, 2022 ($1,000)","(c)","36,921,203",""
"Total retail sales per capita, 2022","(c)","$17,469",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.2",""
"Median households income (in 2023 dollars), 2019-2023","","$62,125",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$34,823",""
"Persons in poverty, percent","","17.8%",""
"Total employer establishments, 2022","","44,850",""
"Total employment, 2022","","639,118",""
"Total annual payroll, 2022 ($1,000)","","31,979,149",""
"Total employment, percent change, 2021-2022","","5.5%",""
"Total nonemployer establishments, 2022","","138,557",""
"All employer firms, Reference year 2022","","31,989",""
"Men-owned employer firms, Reference year 2022","","17,512",""
"Women-owned employer firms, Reference year 2022","","7,081",""
"Minority-owned employer firms, Reference year 2022","","9,485",""
"Nonminority-owned employer firms, Reference year 2022","","18,502",""
"Veteran-owned employer firms, Reference year 2022","","1,782",""
"Nonveteran-owned employer firms, Reference year 2022","","26,552",""
"Population per square mile, 2020","","17.5",""
"Population per square mile, 2010","","17.0",""
"Land area in square miles, 2020","","121,312.75",""
"Land area in square miles, 2010","","121,298.15",""
"FIPS Code","","""35""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"1","Includes data not distributed by county.","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
