"Fact","Fact Note","Tennessee","Value Note for Tennessee"
"Population estimates, July 1, 2024, (V2024)","","7,227,750",""
"Population estimates, July 1, 2023, (V2023)","","7,126,489",""
"Population estimates base, April 1, 2020, (V2024)","","6,912,347",""
"Population estimates base, April 1, 2020, (V2023)","","6,910,786",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.1%",""
"Population, Census, April 1, 2020","","6,910,840",""
"Population, Census, April 1, 2010","","6,346,105",""
"Persons under 5 years, percent","","5.8%",""
"Persons under 18 years, percent","","22.0%",""
"Persons 65 years and over, percent","","17.4%",""
"Female persons, percent","","51.0%",""
"White alone, percent","","78.4%",""
"Black alone, percent (a)","(a)","16.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","7.5%",""
"White alone, not Hispanic or Latino, percent","","72.0%",""
"Veterans, 2019-2023","","406,307",""
"Foreign-born persons, percent, 2019-2023","","5.9%",""
"Housing Units, July 1, 2023, (V2023)","","3,195,304",""
"Owner-occupied housing unit rate, 2019-2023","","67.0%",""
"Median value of owner-occupied housing units, 2019-2023","","$256,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,506",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$455",""
"Median gross rent, 2019-2023","","$1,122",""
"Building Permits, 2023","","47,463",""
"Households, 2019-2023","","2,768,743",""
"Persons per household, 2019-2023","","2.47",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.7%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","8.3%",""
"Households with a computer, percent, 2019-2023","","93.5%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","89.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","30.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.7%",""
"Persons without health insurance, under age 65 years, percent","","11.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","61.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","57.3%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","24,026,772",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","67,569,204",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","33,091,113",""
"Total retail sales, 2022 ($1,000)","(c)","149,013,235",""
"Total retail sales per capita, 2022","(c)","$21,140",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.7",""
"Median households income (in 2023 dollars), 2019-2023","","$67,097",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$37,866",""
"Persons in poverty, percent","","14.0%",""
"Total employer establishments, 2022","","147,924",""
"Total employment, 2022","","2,846,881",""
"Total annual payroll, 2022 ($1,000)","","161,157,703",""
"Total employment, percent change, 2021-2022","","5.3%",""
"Total nonemployer establishments, 2022","","637,340",""
"All employer firms, Reference year 2022","","95,453",""
"Men-owned employer firms, Reference year 2022","","59,619",""
"Women-owned employer firms, Reference year 2022","","18,201",""
"Minority-owned employer firms, Reference year 2022","","13,251",""
"Nonminority-owned employer firms, Reference year 2022","","74,359",""
"Veteran-owned employer firms, Reference year 2022","","4,788",""
"Nonveteran-owned employer firms, Reference year 2022","","81,816",""
"Population per square mile, 2020","","167.6",""
"Population per square mile, 2010","","153.9",""
"Land area in square miles, 2020","","41,232.49",""
"Land area in square miles, 2010","","41,234.90",""
"FIPS Code","","""47""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
