"Fact","Fact Note","North Dakota","Value Note for North Dakota"
"Population estimates, July 1, 2024, (V2024)","","796,568",""
"Population estimates, July 1, 2023, (V2023)","","783,926",""
"Population estimates base, April 1, 2020, (V2024)","","779,046",""
"Population estimates base, April 1, 2020, (V2023)","","779,079",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.6%",""
"Population, Census, April 1, 2020","","779,094",""
"Population, Census, April 1, 2010","","672,591",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","17.0%",""
"Female persons, percent","","48.7%",""
"White alone, percent","","86.4%",""
"Black alone, percent (a)","(a)","3.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","5.3%",""
"Asian alone, percent (a)","(a)","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","4.9%",""
"White alone, not Hispanic or Latino, percent","","82.6%",""
"Veterans, 2019-2023","","43,237",""
"Foreign-born persons, percent, 2019-2023","","4.5%",""
"Housing Units, July 1, 2023, (V2023)","","380,841",""
"Owner-occupied housing unit rate, 2019-2023","","63.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$241,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,715",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$577",""
"Median gross rent, 2019-2023","","$934",""
"Building Permits, 2023","","2,618",""
"Households, 2019-2023","","325,079",""
"Persons per household, 2019-2023","","2.31",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","83.6%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.4%",""
"Households with a computer, percent, 2019-2023","","94.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.8%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","32.3%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.2%",""
"Persons without health insurance, under age 65 years, percent","","5.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","67.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,237,637",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","9,513,680",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","5,084,632",""
"Total retail sales, 2022 ($1,000)","(c)","19,111,926",""
"Total retail sales per capita, 2022","(c)","$24,537",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.0",""
"Median households income (in 2023 dollars), 2019-2023","","$75,949",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$42,474",""
"Persons in poverty, percent","","9.8%",""
"Total employer establishments, 2022","","25,098",""
"Total employment, 2022","","342,345",""
"Total annual payroll, 2022 ($1,000)","","20,355,440",""
"Total employment, percent change, 2021-2022","","2.9%",""
"Total nonemployer establishments, 2022","","59,106",""
"All employer firms, Reference year 2022","","18,251",""
"Men-owned employer firms, Reference year 2022","","10,777",""
"Women-owned employer firms, Reference year 2022","","3,270",""
"Minority-owned employer firms, Reference year 2022","","914",""
"Nonminority-owned employer firms, Reference year 2022","","15,303",""
"Veteran-owned employer firms, Reference year 2022","","855",""
"Nonveteran-owned employer firms, Reference year 2022","","15,078",""
"Population per square mile, 2020","","11.3",""
"Population per square mile, 2010","","9.7",""
"Land area in square miles, 2020","","68,995.86",""
"Land area in square miles, 2010","","69,000.80",""
"FIPS Code","","""38""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
