"Fact","Fact Note","Mississippi","Value Note for Mississippi"
"Population estimates, July 1, 2024, (V2024)","","2,943,045",""
"Population estimates, July 1, 2023, (V2023)","","2,939,690",""
"Population estimates base, April 1, 2020, (V2024)","","2,961,278",""
"Population estimates base, April 1, 2020, (V2023)","","2,961,306",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.7%",""
"Population, Census, April 1, 2020","","2,961,279",""
"Population, Census, April 1, 2010","","2,967,297",""
"Persons under 5 years, percent","","5.9%",""
"Persons under 18 years, percent","","23.1%",""
"Persons 65 years and over, percent","","17.6%",""
"Female persons, percent","","51.5%",""
"White alone, percent","","58.7%",""
"Black alone, percent (a)","(a)","37.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.7%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","1.5%",""
"Hispanic or Latino, percent (b)","(b)","3.9%",""
"White alone, not Hispanic or Latino, percent","","55.6%",""
"Veterans, 2019-2023","","153,838",""
"Foreign-born persons, percent, 2019-2023","","2.4%",""
"Housing Units, July 1, 2023, (V2023)","","1,350,642",""
"Owner-occupied housing unit rate, 2019-2023","","69.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$161,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,353",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$418",""
"Median gross rent, 2019-2023","","$923",""
"Building Permits, 2023","","7,700",""
"Households, 2019-2023","","1,131,760",""
"Persons per household, 2019-2023","","2.52",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","88.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","4.2%",""
"Households with a computer, percent, 2019-2023","","91.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","81.9%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","86.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","24.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","12.6%",""
"Persons without health insurance, under age 65 years, percent","","12.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","56.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","53.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","10,240,535",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","22,217,522",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","8,169,836",""
"Total retail sales, 2022 ($1,000)","(c)","50,096,440",""
"Total retail sales per capita, 2022","(c)","$17,046",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","25.6",""
"Median households income (in 2023 dollars), 2019-2023","","$54,915",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$30,529",""
"Persons in poverty, percent","","18.0%",""
"Total employer establishments, 2022","","60,469",""
"Total employment, 2022","","944,580",""
"Total annual payroll, 2022 ($1,000)","","43,003,532",""
"Total employment, percent change, 2021-2022","","1.5%",""
"Total nonemployer establishments, 2022","","251,172",""
"All employer firms, Reference year 2022","","40,180",""
"Men-owned employer firms, Reference year 2022","","24,442",""
"Women-owned employer firms, Reference year 2022","","8,015",""
"Minority-owned employer firms, Reference year 2022","","5,771",""
"Nonminority-owned employer firms, Reference year 2022","","30,860",""
"Veteran-owned employer firms, Reference year 2022","","2,395",""
"Nonveteran-owned employer firms, Reference year 2022","","33,826",""
"Population per square mile, 2020","","63.1",""
"Population per square mile, 2010","","63.2",""
"Land area in square miles, 2020","","46,923.96",""
"Land area in square miles, 2010","","46,923.27",""
"FIPS Code","","""28""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
