"Fact","Fact Note","Wyoming","Value Note for Wyoming"
"Population estimates, July 1, 2024, (V2024)","","587,618",""
"Population estimates, July 1, 2023, (V2023)","","584,057",""
"Population estimates base, April 1, 2020, (V2024)","","576,844",""
"Population estimates base, April 1, 2020, (V2023)","","576,850",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.2%",""
"Population, Census, April 1, 2020","","576,851",""
"Population, Census, April 1, 2010","","563,626",""
"Persons under 5 years, percent","","5.3%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","19.2%",""
"Female persons, percent","","48.8%",""
"White alone, percent","","92.3%",""
"Black alone, percent (a)","(a)","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.8%",""
"Asian alone, percent (a)","(a)","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","10.8%",""
"White alone, not Hispanic or Latino, percent","","83.1%",""
"Veterans, 2019-2023","","40,952",""
"Foreign-born persons, percent, 2019-2023","","3.5%",""
"Housing Units, July 1, 2023, (V2023)","","280,121",""
"Owner-occupied housing unit rate, 2019-2023","","71.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$285,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,691",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$519",""
"Median gross rent, 2019-2023","","$968",""
"Building Permits, 2023","","1,681",""
"Households, 2019-2023","","238,176",""
"Persons per household, 2019-2023","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.8%",""
"Households with a computer, percent, 2019-2023","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","94.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","29.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.4%",""
"Persons without health insurance, under age 65 years, percent","","13.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","64.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","2,435,803",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","5,012,761",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","2,252,669",""
"Total retail sales, 2022 ($1,000)","(c)","13,183,265",""
"Total retail sales per capita, 2022","(c)","$22,666",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","18.5",""
"Median households income (in 2023 dollars), 2019-2023","","$74,815",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$41,006",""
"Persons in poverty, percent","","11.3%",""
"Total employer establishments, 2022","","23,196",""
"Total employment, 2022","","208,024",""
"Total annual payroll, 2022 ($1,000)","","11,583,647",""
"Total employment, percent change, 2021-2022","","4.6%",""
"Total nonemployer establishments, 2022","","62,751",""
"All employer firms, Reference year 2022","","18,249",""
"Men-owned employer firms, Reference year 2022","","9,864",""
"Women-owned employer firms, Reference year 2022","","3,451",""
"Minority-owned employer firms, Reference year 2022","","1,409",""
"Nonminority-owned employer firms, Reference year 2022","","14,983",""
"Veteran-owned employer firms, Reference year 2022","","1,122",""
"Nonveteran-owned employer firms, Reference year 2022","","15,112",""
"Population per square mile, 2020","","5.9",""
"Population per square mile, 2010","","5.8",""
"Land area in square miles, 2020","","97,088.76",""
"Land area in square miles, 2010","","97,093.14",""
"FIPS Code","","""56""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
