"Fact","Fact Note","Nebraska","Value Note for Nebraska"
"Population estimates, July 1, 2024, (V2024)","","2,005,465",""
"Population estimates, July 1, 2023, (V2023)","","1,978,379",""
"Population estimates base, April 1, 2020, (V2024)","","1,961,996",""
"Population estimates base, April 1, 2020, (V2023)","","1,961,965",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.8%",""
"Population, Census, April 1, 2020","","1,961,504",""
"Population, Census, April 1, 2010","","1,826,341",""
"Persons under 5 years, percent","","6.3%",""
"Persons under 18 years, percent","","24.3%",""
"Persons 65 years and over, percent","","17.2%",""
"Female persons, percent","","49.7%",""
"White alone, percent","","87.3%",""
"Black alone, percent (a)","(a)","5.5%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%",""
"Asian alone, percent (a)","(a)","2.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","12.9%",""
"White alone, not Hispanic or Latino, percent","","76.2%",""
"Veterans, 2019-2023","","105,516",""
"Foreign-born persons, percent, 2019-2023","","7.7%",""
"Housing Units, July 1, 2023, (V2023)","","873,672",""
"Owner-occupied housing unit rate, 2019-2023","","66.5%",""
"Median value of owner-occupied housing units, 2019-2023","","$223,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,686",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$651",""
"Median gross rent, 2019-2023","","$1,035",""
"Building Permits, 2023","","8,877",""
"Households, 2019-2023","","786,885",""
"Persons per household, 2019-2023","","2.44",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.3%",""
"Households with a computer, percent, 2019-2023","","94.6%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.6%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","34.1%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.4%",""
"Persons without health insurance, under age 65 years, percent","","7.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.2%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","5,191,548",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","20,853,904",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","10,693,835",""
"Total retail sales, 2022 ($1,000)","(c)","43,318,520",""
"Total retail sales per capita, 2022","(c)","$22,011",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.1",""
"Median households income (in 2023 dollars), 2019-2023","","$74,985",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$40,637",""
"Persons in poverty, percent","","10.5%",""
"Total employer establishments, 2022","","56,319",""
"Total employment, 2022","","890,050",""
"Total annual payroll, 2022 ($1,000)","","50,451,717",""
"Total employment, percent change, 2021-2022","","4.5%",""
"Total nonemployer establishments, 2022","","150,120",""
"All employer firms, Reference year 2022","","41,185",""
"Men-owned employer firms, Reference year 2022","","23,363",""
"Women-owned employer firms, Reference year 2022","","7,494",""
"Minority-owned employer firms, Reference year 2022","","3,032",""
"Nonminority-owned employer firms, Reference year 2022","","34,445",""
"Veteran-owned employer firms, Reference year 2022","","2,224",""
"Nonveteran-owned employer firms, Reference year 2022","","34,800",""
"Population per square mile, 2020","","25.5",""
"Population per square mile, 2010","","23.8",""
"Land area in square miles, 2020","","76,817.87",""
"Land area in square miles, 2010","","76,824.17",""
"FIPS Code","","""31""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
