"Fact","Fact Note","Missouri","Value Note for Missouri"
"Population estimates, July 1, 2024, (V2024)","","6,245,466",""
"Population estimates, July 1, 2023, (V2023)","","6,196,156",""
"Population estimates base, April 1, 2020, (V2024)","","6,154,854",""
"Population estimates base, April 1, 2020, (V2023)","","6,154,889",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.7%",""
"Population, Census, April 1, 2020","","6,154,913",""
"Population, Census, April 1, 2010","","5,988,927",""
"Persons under 5 years, percent","","5.7%",""
"Persons under 18 years, percent","","22.2%",""
"Persons 65 years and over, percent","","18.3%",""
"Female persons, percent","","50.7%",""
"White alone, percent","","82.4%",""
"Black alone, percent (a)","(a)","11.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.6%",""
"Asian alone, percent (a)","(a)","2.3%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","2.7%",""
"Hispanic or Latino, percent (b)","(b)","5.3%",""
"White alone, not Hispanic or Latino, percent","","77.9%",""
"Veterans, 2019-2023","","354,505",""
"Foreign-born persons, percent, 2019-2023","","4.4%",""
"Housing Units, July 1, 2023, (V2023)","","2,844,346",""
"Owner-occupied housing unit rate, 2019-2023","","67.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$215,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,478",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$528",""
"Median gross rent, 2019-2023","","$996",""
"Building Permits, 2023","","16,781",""
"Households, 2019-2023","","2,484,834",""
"Persons per household, 2019-2023","","2.42",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.6%",""
"Households with a computer, percent, 2019-2023","","94.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","88.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.6%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","31.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","10.5%",""
"Persons without health insurance, under age 65 years, percent","","9.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","62.7%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","59.1%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","18,523,356",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","59,680,054",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","22,731,448",""
"Total retail sales, 2022 ($1,000)","(c)","129,387,984",""
"Total retail sales per capita, 2022","(c)","$20,946",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.7",""
"Median households income (in 2023 dollars), 2019-2023","","$68,920",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$38,497",""
"Persons in poverty, percent","","12.0%",""
"Total employer establishments, 2022","","153,767",""
"Total employment, 2022","","2,564,383",""
"Total annual payroll, 2022 ($1,000)","","149,534,361",""
"Total employment, percent change, 2021-2022","","3.5%",""
"Total nonemployer establishments, 2022","","475,437",""
"All employer firms, Reference year 2022","","104,804",""
"Men-owned employer firms, Reference year 2022","","60,205",""
"Women-owned employer firms, Reference year 2022","","22,668",""
"Minority-owned employer firms, Reference year 2022","","11,801",""
"Nonminority-owned employer firms, Reference year 2022","","85,131",""
"Veteran-owned employer firms, Reference year 2022","","5,230",""
"Nonveteran-owned employer firms, Reference year 2022","","90,030",""
"Population per square mile, 2020","","89.5",""
"Population per square mile, 2010","","87.1",""
"Land area in square miles, 2020","","68,746.48",""
"Land area in square miles, 2010","","68,741.52",""
"FIPS Code","","""29""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
