"Fact","Fact Note","Washington","Value Note for Washington"
"Population estimates, July 1, 2024, (V2024)","","7,958,180",""
"Population estimates, July 1, 2023, (V2023)","","7,812,880",""
"Population estimates base, April 1, 2020, (V2024)","","7,707,586",""
"Population estimates base, April 1, 2020, (V2023)","","7,705,267",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.3%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%",""
"Population, Census, April 1, 2020","","7,705,281",""
"Population, Census, April 1, 2010","","6,724,540",""
"Persons under 5 years, percent","","5.4%",""
"Persons under 18 years, percent","","21.1%",""
"Persons 65 years and over, percent","","17.1%",""
"Female persons, percent","","49.6%",""
"White alone, percent","","76.3%",""
"Black alone, percent (a)","(a)","4.7%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%",""
"Asian alone, percent (a)","(a)","10.8%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.9%",""
"Two or More Races, percent","","5.4%",""
"Hispanic or Latino, percent (b)","(b)","14.6%",""
"White alone, not Hispanic or Latino, percent","","64.2%",""
"Veterans, 2019-2023","","486,714",""
"Foreign-born persons, percent, 2019-2023","","15.1%",""
"Housing Units, July 1, 2023, (V2023)","","3,361,615",""
"Owner-occupied housing unit rate, 2019-2023","","63.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$519,800",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,358",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$740",""
"Median gross rent, 2019-2023","","$1,682",""
"Building Permits, 2023","","37,097",""
"Households, 2019-2023","","3,020,558",""
"Persons per household, 2019-2023","","2.51",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.0%",""
"Households with a computer, percent, 2019-2023","","96.7%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","7.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","26,364,447",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","75,395,248",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","30,246,405",""
"Total retail sales, 2022 ($1,000)","(c)","242,905,745",""
"Total retail sales per capita, 2022","(c)","$31,204",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.0",""
"Median households income (in 2023 dollars), 2019-2023","","$94,952",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$51,493",""
"Persons in poverty, percent","","10.3%",""
"Total employer establishments, 2022","","202,005",""
"Total employment, 2022","","2,978,277",""
"Total annual payroll, 2022 ($1,000)","","241,782,080",""
"Total employment, percent change, 2021-2022","","5.6%",""
"Total nonemployer establishments, 2022","","533,681",""
"All employer firms, Reference year 2022","","152,437",""
"Men-owned employer firms, Reference year 2022","","81,954",""
"Women-owned employer firms, Reference year 2022","","35,273",""
"Minority-owned employer firms, Reference year 2022","","31,980",""
"Nonminority-owned employer firms, Reference year 2022","","108,412",""
"Veteran-owned employer firms, Reference year 2022","","7,153",""
"Nonveteran-owned employer firms, Reference year 2022","","133,394",""
"Population per square mile, 2020","","115.9",""
"Population per square mile, 2010","","101.2",""
"Land area in square miles, 2020","","66,455.12",""
"Land area in square miles, 2010","","66,455.52",""
"FIPS Code","","""53""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
