"Fact","Fact Note","Kansas","Value Note for Kansas"
"Population estimates, July 1, 2024, (V2024)","","2,970,606",""
"Population estimates, July 1, 2023, (V2023)","","2,940,546",""
"Population estimates base, April 1, 2020, (V2024)","","2,937,745",""
"Population estimates base, April 1, 2020, (V2023)","","2,937,835",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.1%",""
"Population, Census, April 1, 2020","","2,937,880",""
"Population, Census, April 1, 2010","","2,853,118",""
"Persons under 5 years, percent","","6.0%",""
"Persons under 18 years, percent","","23.6%",""
"Persons 65 years and over, percent","","17.5%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","85.9%",""
"Black alone, percent (a)","(a)","6.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.3%",""
"Asian alone, percent (a)","(a)","3.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%",""
"Two or More Races, percent","","3.3%",""
"Hispanic or Latino, percent (b)","(b)","13.7%",""
"White alone, not Hispanic or Latino, percent","","73.7%",""
"Veterans, 2019-2023","","154,967",""
"Foreign-born persons, percent, 2019-2023","","7.2%",""
"Housing Units, July 1, 2023, (V2023)","","1,300,712",""
"Owner-occupied housing unit rate, 2019-2023","","66.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$203,400",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,638",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$618",""
"Median gross rent, 2019-2023","","$1,029",""
"Building Permits, 2023","","9,504",""
"Households, 2019-2023","","1,160,715",""
"Persons per household, 2019-2023","","2.46",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","85.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.1%",""
"Households with a computer, percent, 2019-2023","","95.0%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","35.2%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.7%",""
"Persons without health insurance, under age 65 years, percent","","9.9%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","65.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","61.4%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","7,618,424",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","26,870,804",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","11,388,882",""
"Total retail sales, 2022 ($1,000)","(c)","51,495,728",""
"Total retail sales per capita, 2022","(c)","$17,535",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","19.8",""
"Median households income (in 2023 dollars), 2019-2023","","$72,639",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$39,638",""
"Persons in poverty, percent","","11.2%",""
"Total employer establishments, 2022","","75,991",""
"Total employment, 2022","","1,225,232",""
"Total annual payroll, 2022 ($1,000)","","67,832,396",""
"Total employment, percent change, 2021-2022","","3.1%",""
"Total nonemployer establishments, 2022","","217,018",""
"All employer firms, Reference year 2022","","52,920",""
"Men-owned employer firms, Reference year 2022","","30,135",""
"Women-owned employer firms, Reference year 2022","","10,492",""
"Minority-owned employer firms, Reference year 2022","","6,017",""
"Nonminority-owned employer firms, Reference year 2022","","41,643",""
"Veteran-owned employer firms, Reference year 2022","","2,412",""
"Nonveteran-owned employer firms, Reference year 2022","","44,836",""
"Population per square mile, 2020","","35.9",""
"Population per square mile, 2010","","34.9",""
"Land area in square miles, 2020","","81,758.59",""
"Land area in square miles, 2010","","81,758.72",""
"FIPS Code","","""20""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
